"id","business_name","coord_x","coord_y","full_address"
"3000000-101-1899-10737","개나리식당","198944.857613539    ","452190.326667861    ","서울특별시 종로구 낙원동 218-1 "
"3000000-101-1899-10742","또와생고기","199103.940969447    ","452491.40093517     ","서울특별시 종로구 와룡동 166-0 "
"3000000-101-1899-10745","동성각","197745.004527844    ","452127.244052997    ","서울특별시 종로구 당주동 18-0 "
"3000000-101-1965-00476","지화자 좋다","198755.726936417    ","452283.369348285    ","서울특별시 종로구 인사동 24-1 지상1,2층 "
"3000000-101-1965-03089","콘크리트 팔레트","200063.294926942    ","453351.707371506    ","서울특별시 종로구 명륜4가 88-2 "
"3000000-101-1967-00920","고흥집","200158.998034837    ","452039.167449221    ","서울특별시 종로구 종로5가 182-7 "
"3000000-101-1967-01548","풍년집","199974.207402498    ","453439.848242798    ","서울특별시 종로구 명륜4가 46-1 "
"3000000-101-1967-03256","남대문막내횟집","198454.588761761    ","451879.773068402    ","서울특별시 종로구 관철동 263-0 "
"3000000-101-1967-04618","둘둘치킨","197766.998422064    ","451932.686795823    ","서울특별시 종로구 신문로1가 158 "
"3000000-101-1967-06518","동명삼계탕","198101.593328721    ","452496.362099822    ","서울특별시 종로구 중학동 91-0 "
"3000000-101-1968-01561","청기와타운 종로점","198719.974621451    ","451867.155605848    ","서울특별시 종로구 관철동 12-18 원산빌딩 "
"3000000-101-1968-02150","도마","198909.74202149     ","451827.311680134    ","서울특별시 종로구 관철동 35-8 "
"3000000-101-1968-03150","백부장집","198401.16325531     ","452170.859816917    ","서울특별시 종로구 공평동 129-0 "
"3000000-101-1968-03258","함흥면옥","198365.242052494    ","452988.124005943    ","서울특별시 종로구 화동 138-18 "
"3000000-101-1968-04182","역전할머니맥주 종로3가점","198977.174329225    ","452072.834746916    ","서울특별시 종로구 낙원동 204-0 "
"3000000-101-1968-06103","함흥곰보냉면","199667.555242036    ","452144.944968727    ","서울특별시 종로구 인의동 112-14 401,405호 "
"3000000-101-1969-01465","제주도집","198150.300374121    ","452019.212642931    ","서울특별시 종로구 종로1가 24 (르메이에르타운 지상1층 110-2호) "
"3000000-101-1969-02004","바로패턴&카페","200509.404703268    ","451970.859318259    ","서울특별시 종로구 종로5가 408 "
"3000000-101-1969-05661","육대장 광화문점","197726.11781315     ","452078.157509422    ","서울특별시 종로구 당주동 37-6 (지상 1층) "
"3000000-101-1969-05683","주식회사 거북이 홍반점","198737.712476986    ","451849.035148545    ","서울특별시 종로구 관철동 12-6 지하1층, 지상1층 "
"3000000-101-1969-05912","일번지","198656.76628765     ","452078.424740743    ","서울특별시 종로구 인사동 233-1 (지상1,2층) "
"3000000-101-1970-00526","경원집","197589.395081387    ","452654.995095917    ","서울특별시 종로구 적선동 27-0 "
"3000000-101-1970-03133","금문","199986.44860886     ","453678.220652262    ","서울특별시 종로구 혜화동 122-5 "
"3000000-101-1970-08106","대성집","196481.380928093    ","452270.45119836     ","서울특별시 종로구 행촌동 209-35 "
"3000000-101-1971-03107","임현정 창신육회빈대떡","199990.62229221     ","452046.010235692    ","서울특별시 종로구 종로5가 138-8 김해약국 "
"3000000-101-1971-03508","가고시마","198910.899366062    ","452750.505122507    ","서울특별시 종로구 운니동 98-78 지상2층 "
"3000000-101-1971-06490","잔나비포차","200892.9122523      ","452094.866889578    ","서울특별시 종로구 창신동 464-23 "
"3000000-101-1972-00843","대복집","197623.104758627    ","452657.234972786    ","서울특별시 종로구 적선동 13-2 "
"3000000-101-1972-01101","강호","198897.286450129    ","452556.705530909    ","서울특별시 종로구 경운동 1-1 강호빌딩 "
"3000000-101-1972-01155","마작골","200841.176868527    ","452049.502624754    ","서울특별시 종로구 창신동 444-5 "
